system:index,month,ndvi_mean,precip_mean,.geo
0,2024-01,0.3052287019341247,0.042767441303659545,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2024-02,0.4129680717111585,0.06717486775551662,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2024-03,0.3368067373093183,0.1833893646966651,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2024-04,0.43733117065381377,0.017174158508529186,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2024-05,0.3720750822688162,0.005192842992456573,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2024-06,0.29869195978047514,0.017453928794255103,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2024-07,0.27955863790452645,8.045364625475843E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2024-08,0.24683587514978408,0.004802293146389443,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2024-09,0.29412220555175256,0.019569270976984538,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2024-10,0.31460408471917456,0.09442677115088148,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2024-11,0.3536670292406072,0.04069004978448729,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2024-12,0.48167968694095636,0.02626315104598652,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2025-01,0.4902037751494535,0.058494943416599846,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2025-02,0.5066584176227601,0.041264214112495014,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2025-03,0.5045521128453176,0.19164425106409294,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2025-04,0.5108399071877436,0.05353994927538271,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2025-05,0.4044298164285928,0.029123545505661416,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2025-06,0.32713953126194406,3.0968204559661024E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2025-07,0.3092154753578624,0.0010660916266391387,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2025-08,0.283627417768484,9.593510546636902E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
